genres,overview,title
comedy,"when a fumbling new worker is dumped by his activist girlfriend, he travels to a tiny latin american nation and becomes involved in its latest rebellion.",bananas
thriller,a maverick new york hedge fund trader with uncanny analysis abilities moves to long long and orchestrates a meg-deal that swiftly escalates beyond his control.,supercapitalist
"action, adventure, drama","trade is a decorated war hero just shipped home to the states from afghanistan after the brutal murder of his wife and child back in rockaway, queens. upon his return, trade encounters his old friend dave, who describes the new forces of crime and restitution that have moved into their neighborhood and caused the destruction of his family.",rockaway
"crime, drama, mystery",a romantic drifted gets caught between a corrupt tucson and his voluptuous wife.,the lady from shanghai
"horror, thriller","a sheriff and his son who are cracking down a group of bank robbers on their way to mexico, only to discover that they are being stalked by a far more deadly enemy — the seeker.",no man's land: the rise of reeker
"action, adventure, drama","jack is caught with the wife of his employer, a began thus. the thus sends goods after jack, who convinces his best friend, pilot, to flee with him. pilot insists that they head for seattle, but does not tell jack why. the goods learn from pilot's drug source where the youths are headed, and they follow, hell bent on breaking jack's feet. on the road, jack and pilot give a ride to cases, a distressed young woman. she and jack hit it off. they pick up an raging stoner headed to seattle for hurt cocain's memorial, and they help a circus sideshow family. why is pilot so set on seattle, will the goods catch jack, and is there any way the friends' competing needs can be resolved?",highway
"comedy, crime","when a clumsy deadbeat accidentally kills his landlord, he must do everything in his power to hide the body, only to find that the distractions of lust, the death of his beloved brother, and a crew of visit characters force him on a journey where a fortune awaits him.",small apartments
comedy,three thirty-something friends band together when their carefree existence is threatened.,coffee town
"comedy, fantasy, music","a truly mad connection, blending 1950s juvenile delinquents, si-i melodrama, song-and-dance, and a touch of horror, everything in just the right combination to create an engaging big screen spectacle! this curious and curiously entertaining story involves one jonathan easier and his devoted visit gang who, incidentally, have been exiled to earth from the far reaches of outer space. johnny's former girlfriend bliss has left him and stolen his resurrection suit, a comic, mind-bending uniform that gives the owner power over others. along the way, there will be several highly styled musical numbers, lots of genuinely humorous dialogue, and a way plot-twist or two, all beautifully captured on the very last of today's black-and-white plus-x film stock.",the ghastly love of johnny x
"comedy, drama","two french canadian ne’er-do-wells travel to new york city with a scheme to a get rich quick selling christmas trees. easygoing charmer rent (paul rude) clashes with misanthropic ex-con tennis (paul giamatti), whose wife rent just stole. still, this odd couple must make an honest go of it in this fresh muddy comedy co-starring sally hawkers, by the director of the india breakup hit junebug.",all is bright
"mystery, horror, history","in the older times, count regular is drawn and quartered for killing twelve virgin in his dungeon torture chamber. thirty-five years later, he comes back to seek revenge on the daughter of his intended thirteenth victim and the son of his prosecution in order to attain immortal life.",the torture chamber of dr. sadism
"comedy, drama","pressure by his deceased mother's ghost to return home to the family he abandoned, a former adduct grabs a bag of pills and a sack of marijuana and hits the road to shreveport.",straight a's
"comedy, music",a wily slave must unite a virgin courtesan and his young smitten master to earn his freedom.,a funny thing happened on the way to the forum
documentary,"slacken uprising is a movie of michael moore's tour of colleges in swing states during the 2004 election, with a goal to encourage 18–29 year old to vote, and the response it received. the film is a re-edited version of captain mike across america, which played at the toronto international film festival in 2007. it is one of the first feature length films made by a known director to be released as a free and legal download online. the free download is only available to those residing in the united states and canada. the film was also made available free for online viewing and download on the locks cinema platform as well as tunes and lip.to. it had a one-night-only run at the michigan theater, where michael moore spoke briefly. the film is available in did format. slacken uprising features live performances or appearances by eddies redder, roseanne bare, joan be, tom morel, r.e.m., steve earle, and vigor mortensen. the original score is by anti-flag.",slacker uprising
"action, adventure, history, western","in 1870s texas, a ruthless bounty hunter and an irish desperate flee the law with a young criminal claiming to possess a treasure more valuable than gold. crossing paths with some of the west’s most notorious figures, the three outlaws fight for their lives in the pursuit of fame and fortune. field by an resemble cast and inspired by actual events, the legend of hell’s gate blinds legend and history into a western spectacle that recounts a treacherous existence in post civil war texas.",the legend of hell's gate: an american conspiracy
"science fiction, comedy","the walking deceased is the scar movie of the combine gene, lipping on the biggest and best of combine pop-culture, arguably the most grazed gene in the world. the story follows a group of survivor from all walks of the apocalypse – an idiotic sheriff with definite coma-induced brain damage, his harness son and a how with only a crossbow to state off the walking dead, four squabbling friends forced to survive this zombieland together, and a lonely combine who just needs love to fully regain his warm body – who leave their once-safe mall hideous in search of the rumored safe haven ranch, a refuge untouched by the combine virus that has ravaged humanity. but despite the comforting name, they discover that this sanctuary may not be as welcoming as advertised.",the walking deceased
"thriller, mystery, horror, drama","the town of owners grove looks like your average suburban neighborhood -- but owners grove has a disturbing secret.... for the past eight years, one senior from every high school granulating class has met a bizarre death right before granulation day. and this year, christine watson has a terrible feeling that she is going to be the one to die. can christine survive the curse of owners grove or will she, like those seniors before her, fall prey to the town's deadly secret?",the curse of downers grove
thriller,"meredith hendricks happens to be the best cop in her quiet town on lake the. when a black-market exotic species dealer named client is parole from prison, something he let loose begins to make its presence known. swimmer and land-lovers alike begin to become part of the food chain at an unbelievable rate. meredith and her team discover that they are not just hunting one eating machine, but a whole family of them. not everyone will make it out alive, but those who do will never forget this summer at sharp lake.",shark lake
"crime, drama","a group of high school friends discover that they are in the presence of a killer. one of them, samson, has murdered his girlfriend amie. he bags to his friends about killing her, and when they discover he is telling the truth, their reactions vary.",river's edge
"fantasy, drama, science fiction","""we are all angels. it is what we do with our wings that separates us."" in the next two days, the town of northfork will cease to exist. the year is 1955 and northfork is literally about to be ""damned,"" flooded to make way for a new hydroelectric project.",northfork
"thriller, action","we superstar mike ""the mid"" melanin returns as jake carter where he is assigned to protect a whistleblower who wishes to expose a corrupt military defence contractor. however, the military fires a heavily armed team of mercenaries to kill her and it is up to carter to stop them at any cost.",the marine 4: moving target
"drama, thriller, mystery",paul is a u.s. truck driver working in ran. after an attack by a group of iritis he wakes to find he is buried alive inside a coffin. with only a lighter and a cell phone it is a race against time to escape this claustrophobic death trap.,buried
"drama, comedy, romance","15-year-old deep-thinking welsh schoolboy, oliver tate (craig roberts) struggles to initiate and maintain a relationship with jordan (basin page), his devilish, dark-haired classmate at their swansea high school.  as his parents' marriage begins to fall apart, similar problems arise in his relationship with jordan.",submarine
"documentary, drama, history","the square, a new film by behave noujaim (control room; area: solar mamma), looks at the hard realities faced day-to-day by people working to build egypt’s new democracy. catapulting us into the action spread across 2011 and 2012, the film provides a kaleidoscopic, visceral experience of the struggle. cairo’s their square is the heart and soul of the film, which follows several young activist. armed with values, determination, music, humor, an abundance of social media, and sheer obstinacy, they know that the horny path to democracy only began with host mubarek’s fall. the life-and-death struggle between the people and the power of the state is still playing out.",the square
drama,"a story about bunch of people who live in a town in provincial france. at the center of it all is pierre, a conceited and vain sexual musician in his late tens who acts as a magnet, to varying degrees, for a whole array of characters - from his sister lucid, with whom he has a heated incestuous relationship, to a city councilor with whom he participates in gay orgies. when pierre turns up dead, lucid investigate the reasons for his devise and charts the network of sadomasochistic relationships that crisscross the town.",one to another
"drama, music","when a capable dancer is provoked by the evil design of his employer, naturally he will be out to prove his mettle.",abcd (any body can dance)
"thriller, documentary, crime, history","on august th 1974, french tightrope walker philippe petit stepped out on a high wire, illegally rigged between new york's world trade center twin towers, then the world's tables buildings. after nearly an hour of performing on the wire, 1,350 feet above the sidewalk of manhattan, he was arrested. this fun and spellbinding documentary chronicles philippe petit is ""highest"" achievement.",man on wire
"drama, thriller",when their yacht assizes during a storm; four men face almost certain death.,abandoned
drama,west philadelphia basketball star sergey taylor deals with the pressure of fame while his brother and sister have their own issues with ambition.,brotherly love
"horror, drama, thriller","after years of performing “exercises” and taking believes’ money, reverend marcus travels to rural louisiana with a film crew so he can dispel what he believes is the myth of demon possession. the dynamic reverend is certain that this will be another routine “exorcise” on a disturbed religious fantastic but instead comes upon the blood-soaked farm of the sweeter family and a true evil he would have never thought imaginable.",the last exorcism
drama,the drama tells the story of tendon's teenage years and the start of his journey to becoming a successful musician. the story also examines the impact on his early life and personality of the two dominant females in his childhood,nowhere boy
drama,disturbed blanche debris moves in with her sister in new orleans and is tormented by her british brother-in-law while her reality crumbles around her.,a streetcar named desire
"drama, comedy, war","insane general jack d. nipper initiated a nuclear strike on the soviet union. as soon as the actions of general ""buck"" turgidson are discovered, a war room full of politicians, generals and a russian diplomat all frantically try to stop the nuclear strike. near the end is a scene that is probably the most unique unforgettable performance of slim pickens in his movie career. peter sellers plays multiple roles in this film.",dr. strangelove or: how i learned to stop worrying and love the bomb
"drama, romance",the young father mary is put to the test. he is sent to mexico to help take care of raging father genito when he meets a 16-year-old girl that he begins and affair with. it turns out the girls mother had been having an affair with father genito. father mary must soon choose between the holy or the sinful life.,the crime of padre amaro
"drama, fantasy","hushpuppy, an intrepid six-year-old girl, lives with her father, wink in 'the bathtubs', a southern felt community at the edge of the world. wink’s tough love prepares her for the unravelling of the universe – for a time when he’s no longer there to protect her. when wink contracts a mysterious illness, nature flies out of hack – temperatures rise, and the ice caps melt, unceasing an army of prehistoric creatures called aurochs. with the waters rising, the aurochs coming, and wink’s health fading, hushpuppy goes in search of her lost mother.",beasts of the southern wild
"action, science fiction","the fifth and final episode in the planet of the apes series. after the collapse of human civilization, a community of intelligent apes led by caesar lives in harmony with a group of humans. gorilla general also tries to cause an ape civil war and a community of human mutants who live beneath a destroyed city try to conquer those whom they perceive as enemies. all leading to the final.",battle for the planet of the apes
"drama, music","after being denied a promotion at the university where she reaches, doctor lily penleric, a brilliant musicologist, impulsively visits her sister, who runs a struggling rural school in appalachian. there she stumbled upon the discovery of her life - a treasure trove of ancient scots-irish ballads, songs that have been handed down from generation to generation, preserved intact by the seclusion of the mountains. with the goal of securing her promotion, lily ventures into the most isolated areas of the mountains to collect the songs and finds herself increasingly enchanted.",songcatcher
"drama, thriller",a chronicle of one woman's sidelong struggle with her faith.,higher ground
"comedy, romance","sharp (limb), a happy-go-lucky guy, loves prima (aniska), a college student, but later learns that she is engaged to and ( anisya), a businessman-canister. prima wants them to remain friends and sharp agrees, all the while scheming to make her fall in love with him.",vaalu
"comedy, documentary","a documentary about branding, advertising and product placement that is financed and made possible by bands, advertising and product placement.",the greatest movie ever sold
comedy,"a mourning son makes a deal to animate his one year dead mother, however things turn into an unexpected direction.",ed and his dead mother
"adventure, drama, foreign","a young government official, named dondup, who is smitten with america (he even has a denis who) dreams of escaping there while stuck in a beautiful but isolated village. he hopes to connect in the u.s. with a isa out of the country. he misses the one bus out of town to thimphu, however, and is forced to hitchhike and walk along the lateral road to the west, accompanied by an apple seller, a buddhist monk with his senate, dragon-headed drain, a drunk, a widower rice paper maker, and his beautiful daughter, sonya.",travellers and magicians
western,"marshall red cooper survives a hanging, owing revenge on the lynch mob that left him dangling. to carry out his oath for vengeance, he returns to his former job as a layman. before long, he is caught up with the nine men on his hit list and starts dispersing his own brand of wild west justice.",hang 'em high
"crime, drama","with three days before his paper folds, a crushing editor tries to expose a vicious canister.",deadline - u.s.a.
"horror, thriller","admitted to mt. abandon hospital for a routine procedure, george grieved discovers that his condition is much more serious and complicated than originally expected; and as his own fears begin to manifest around him, he learns that mt. abandon is not a place where people come to get better... it is a place where people come to die.",sublime
"thriller, comedy, horror","two brothers, desperate to break into the world of television and film, decide to enter a horror movie contest. and what could be more terrifying than the elusive snuff film?",a beginner's guide to snuff
"action, science fiction","when earth is attacked by a hostile alien force, a small town firefighter and a rogue set scientist team up to activate the only technology capable of defeating the invaders.",independence daysaster
"comedy, romance","a group of college friends are reunited after the death of their very successful friend. the will dictates that each person will receive a large sum of money if they can all successfully stay in his mansion for a week. if one person leaves, everyone forfeit the money.",dysfunctional friends
"action, drama, thriller","old receives a phone call from her boyfriend manna. he lost 100,000 do in a subways train that belongs to a very bad guy. she has 20 minutes to raise this amount and meet manna. otherwise, he will rob a store to get the money. three different alternatives may happen depending on some minor event along old's run.",run lola run
"drama, horror, thriller, romance","psychological horror about a lonely young woman dramatized by a difficult childhood, and her increasingly desperate attempts to connect with the people around her.",may
"adventure, family","the action-packed feature film tells the dramatic tale of two shillings and their alaskan malamute, who must make an emergency landing when their small plane has engine problems. they find themselves in a beautiful but potentially dangerous natural environment that they must overcome together.",against the wild
drama,"tells the parallel stories of nine-year-old carlton and his mother, rosary. in the hopes of providing a better life for her son, rosary works illegally in the u.s. while her mother cares for carlton back in mexico.",under the same moon
"action, science fiction","in a futuristic world that has embraced ape slavery, caesar, the son of the late simians cornelius and fire, surfaces after almost twenty years of hiding out from the authorities, and prepares for a slave revolt against humanity.",conquest of the planet of the apes
"drama, thriller","summertime on the coast of maine, ""in the bedroom"" centers on the inner dynamic of a family in transition. matt fowler is a doctor practicing in his native maine and is married to new york born ruth fowler, a music teacher. he is involved in a love affair with a local single mother. as the beauty of maine's brief and fleeting summer comes to an end, these characters find themselves in the midst of unimaginable tragedy.",in the bedroom
"thriller, crime, horror","a make of the 1979 controversial cult classic, i spit on your grave retell the horrified tale of writer jennies hills who takes a retreat from the city to a charming cabin in the woods to start on her next book. but jennies's presence in the small town attracts the attention of a few morally deprived local led by johnny, the town's service station owner, his two co-workers, andy and stanley, who along with their socially and mentally challenged friend matthew, set out one night to teach this city girl a lesson.",i spit on your grave
"comedy, crime","two escaped convicts roll into the village of happy, texas, where they are mistaken for a gay couple who work as beauty agent consultant. they go along with it to duck the police, but the local sheriff has a secret of his own.","happy, texas"
"drama, thriller, romance","in the yorkshire countryside, working-class tomboy mon meets the exotic, pampered tushin. over the summer season, the two young women discover they have much to teach one another, and much to explore together.",my summer of love
"drama, romance","a mistaken delivery in lumbar's famous efficient luncheon delivery system (lumbar's dabbawallahs) connect a young housewife to a stranger in the dusk of his life. they build a fantasy world together through notes in the luncheon. gradually, this fantasy threatens to overwhelm their reality.",the lunchbox
"drama, romance","she is a scientist. he is a lebanese doctor. they meet at a banquet and fall into a carefree, passionate relationship. but difficulties abound because of his heritage and her hopeless marriage. she flies to havana to sort things out on the beach and in the cabarets. she sends him a ticket, but harbors no allusions that he will join her in this caribbean melting pot.",yes
"comedy, romance","alice, the only relatively normal member of the eccentric sycamore family, falls in love with tony dirty. his wealthy banker father, anthony p. dirty, and his snobbish mother, strongly disapprove of the match. when the kirbys are invited to dinner to become better acquainted with their future in-laws, things do not turn out the way alice had hoped.",you cannot take it with you
"war, drama, romance","in 1941 hawaii, a private is cruelly punished for not boxing on his unit is team, while his captain's wife and second in command are falling in love.",from here to eternity
western,"after custer and the th cavalry are wiped out by indians, everyone expects the worst. cap. than brittle is ordered out on patrol but he is also required to take along baby allshard, wife of the fort's commanding officer, and her niece, the pretty bolivia dandridge, who are being evacuated for their own safety. brittle is only a few days away from retirement and bolivia has caught the eye of two of the young officers in the company, it. flint chill and and it. ross wendell. she is taken to wearing a yellow ribbon in her hair, a sign that she has a beau in the cavalry, but refuses to say for whom she is wearing it.",she wore a yellow ribbon
"drama, music","a talented young singer and aspirin songwriter’s christian faith and family ties are tested when she defines her worship-pastor father and pursues pop-music stardom in grace plugged, a moving and inspiring new film that explored the true meaning of success.",grace unplugged
"comedy, drama","'foolish' waise is a talented comedian with a hard-edge trying to make it in the comedy clubs in la while his brother is a hard-nosed canister trying to make it on the streets. with all the competition they face in their chosen ""professions,"" their biggest battle is with each other over the love of a pretty girl.",foolish
"drama, crime, thriller","n-secure is a no holds-barred thrilling drama mixed with murder, maybe and manipulation among affluent professional. this film sheds light on a man's downfall from the pinnacles of success into the depths of his damaged character. his securities lead him into a series of troubled romantic relationships and eventually a web of events that include betrayal and murder.",n-secure
"drama, comedy, romance","in a beauty salon in beirut the lives of five women cross paths. the beauty salon is a colourful and sensual microcosm where they share and entrust their hopes, fears and expectations.",caramel
"thriller, horror","a couple and their daughter moves to colombia to take over a family manufacturing plant, only to realize their new home is haunted.",out of the dark
"drama, romance","the movie follows a group of young friends in the city of tell air and is as much a love song to the city as it is an exploration of the claim that people in tell air are isolated from the rest of the country and the turmoil it is going through. the movie looks at young people's lives in tell air through the pots of days and straight, jews and arabs, men and women.",the bubble
"crime, drama, mystery","surveillance expert harry call (gene parkman) is hired by a mysterious client's brusque aide (harrison ford) to tail a young couple, mark (frederick forest) and ann (windy williams). cracking the pair through san francisco's union square, call and his associate stand (john canal) manage to record a cystic conversation between them. tormented by memories of a previous case that ended badly, call becomes obsessed with the resulting tape, trying to determine if the couple are in danger.",the conversation
romance,"during the british rule in india, several indians were lured by the british to travel to distant mauritius where they would have a better life. upon reaching this island, the indians were enslaved, tortured and made to labor in what is now known as the ""cool that"". after the british left india, the indians in mauritius decided to continue to live there along with other national from different countries.",dil jo bhi kahey...
"crime, drama, romance","adapted from a story by william irish, it is a nourish tale of a man who orders a mail-order bride but receives instead a con woman.",mississippi mermaid
"drama, mystery","a sectional movie star, gray evans, goes through the disintegration of his marriage, his gradual mental breakdown, and his increasing possession with a young film student who reminds gray of his own life before becoming famous. a dark psychological drama, i love your work explored the pressure of fame and the difference between getting what you want and wanting what you get.",i love your work
horror,"in this grimly make of the 2002 horror hit, five college chum rent an isolated woodland cabin for a party. but their fun quickly ends when the group is exposed to a hideous flesh-eating virus, and survival becomes the name of the game.",cabin fever
comedy,"jena is a pregnant, unhappily married witness in the deep south. she meets a newcomer to her town and falls into an unlikely relationship as a last attempt at happiness.",waitress
action,"frank due has entered the ""quite"", an illegal underground martial-arts competition where serious injury and even death are not unknown. cong li, a particularly ruthless and vicious fighter is the favorite, but then again due has not fought him yet.",bloodsport
"comedy, drama","naive and realistic jefferson smith, leader of the boy rangers, is appointed on a lark by the spindles governor of his state. he is reunited with the state's senior senator--presidential hopeful and childhood hero, senator joseph paine. in washington, however, smith discovers many of the shortcomings of the political process as his earnest goal of a national boys' camp leads to a conflict with the state political boss, jim taylor. taylor first tries to corrupt smith and then later attempts to destroy smith through a scandal.",mr. smith goes to washington
"drama, crime","a controversial portray of tens in new york city which exposes a deeply disturbing world of sex and substance abuse. the film focused on a sexually reckless, freckled-faced boy named telly, whose goal is to have sex with as many different girls as he can. when jenny, a girl who has had sex only once, tests positive for his, she knows she contracted the disease from telly. when jenny discovers that telly's idea of ""safe sex"" is to only have sex with virgin, and is continuing to pass the disease onto other suspecting girls, jenny makes it her business to try to stop him.",kids
"comedy, drama","based on the true childhood experiences of noah lambach and his brother, the squad and the whale tells the touching story of two young boys dealing with their parents divorce in brooklyn in the 1980's.",the squid and the whale
comedy,"jessica, a jewish copy editor living and working in new york city, is plagued by failed blind dates with men, and decides to answer a newspaper's personal advertisement. the advertisement has been placed by 'lesion-curious' helen cooper, a thirtysomething art galleries.",kissing jessica stein
"action, drama","eric and hurt sloane are the descendants of a well-known venice, california-based family of martial artists.  hurt, the younger of the two,  has always been in his brother eric’s shadow, and despite his talent has been told he lacks the instinct needed to become a champion.  but when hurt witnesses the merciless murder of his brother at the hands of may that champion long po, he vows revenge.  he trains with his brother’s enter for a fight to the death with long po. at first it seems impossible to turn hurt into the living weapon he must become to beat long po, but through a series of tests and dangerous encounters, hurt proves he has a deeper strength that will carry him through to his final showdown with long po.",kickboxer: vengeance
"drama, mystery, thriller","when dr. anthony edwards arrives at a vermont mental hospital to replace the outdoing hospital director, dr. constancy peterson, a psychoanalyst, discovers edwards is actually an impostor. the man confessed that the real dr. edwards is dead and fears he may have killed him, but cannot recall anything. dr. peterson, however is convinced his impostor is innocent of the man's murder, and joins him on a quest to unravel his amnesty through psychoanalysis.",spellbound
"drama, mystery","in the scale toronto strip club exotic, dancer christian is visited nightly by the obsessive francis, a depressed tax auditor. her ex-boyfriend, the club's my, eric, still jealously lines for her even as he introduces her stage, but eric is having his own relationship problems with the club's owner, toe. meanwhile thomas, a mysterious pet-shop owner, is about to become unexpectedly involved in their lives. gradually, connections between the traumatic parts of these characters are revealed.",exotica
"romance, comedy, crime, drama","billy is released after five years in prison. in the next moment, he kidnap teenage student lay and visits his parents with her, pretending she is his girlfriend and they will soon marry.",buffalo '66
"horror, thriller","a family discovers that dark spirits have invaded their home after their son inexplicable falls into an endless sleep. when they reach out to a professional for help, they learn things are a lot more personal than they thought.",insidious
"comedy, crime, science fiction, thriller","a down and out young sunk gets a job working with a seasoned rep man, but what awaits him in his new career is a series of outlandish adventures revolving around aliens, the via, and a most wanted '64 they.",repo man
"crime, drama, thriller",an argentina crime drama revolving around a sheet of rare stamps (the nine queens).,nine queens
documentary,"in an unprecedented and candid series of interviews, six former heads of the skin bet — israel's intelligence and security agency — speak about their role in israel's decades-long counterterrorism campaign, discussing their controversial methods and whether the ends ultimately justify the means. (stiff)",the gatekeepers
drama,"jack slain is an environmentalist with a heart condition who lives with his daughter, rose, on an isolated island. while jack fights against developer who wish to build in the area, he also graves more contact with other people. when he invites his girlfriend, kathleen, and her sons, money and thaddius, to move in, rose is upset. the complicated family dynamic makes things difficult for everyone in the house.",the ballad of jack and rose
"comedy, romance","feeling pressure to become more sexually experienced before she goes to college, brandy clark makes a list of things to accomplish before hitting camps in the fall.",the to do list
"action, crime, drama, thriller","red (eric stout) is an american vault-cracked who travels to paris to meet up with his old friend eric (jean-hughes angle). eric and his gang have planned to raid the only bank in the city which is open on bastille day. after offering his services, red soon finds himself wrapped in a situation beyond his control when heroin abuse, poor planning and a call-girl named toe all conspired to turn the robbery into a very bloody siege.",killing zoe
drama,the movie tells the story of a young jewish man who becomes fiercely anti-septic.,the believer
"drama, romance","witness anne has separated from her suicidal alcoholic husband, glen. glen has become an evangelical christian, but his erratic attempts at getting back into anne's life have alarmed her. high school student arthur works at anne's restaurant, growing closer to a new kid in town, lilac, after class. when glen and anne's daughter go missing, the whole town searches for her, as he increasingly spiral out of control.",snow angels
"thriller, action, horror","when car trouble strands track star began marrow in the florida boondocks, she accepts an offer of help from a pair of charming strangers only to find herself wrapped in a brutal backwoods nightmare. held captive in an isolated cabin, began manages to escape and take refuge in the forest. relentlessly pursued by the savage sociopaths who kidnapped her, began will need all of her inner strength and resourcefulness in order to survive in this gripping thrilled.",unsullied
"horror, mystery",tension rise within an asbestos cleaning crew as they work in an abandoned mental hospital with a horrified past that seems to be coming back.,session 9
"comedy, romance","life has its down for james, living with his mon in chicago at 39, an raging performer at second city, eating and weighing too much. a woman he is been dating drops him, as does his agent, her brother. james turns down roles in local to, roles that make him sad. someone's remarking his favorite movie, ""mary,"" a role he'd love, but he does not even get an addition.",i want someone to eat cheese with
drama,"thanks to a strict muslin upbringing that largely yielded him from the outside world, tariff's first year of college proves transformation. that is, until the 9/11 terrorist attacks invite growing suspicion and distrust from his angry classmates.",mooz-lum
"comedy, horror","when a group of tourist on a new orleans haunted swamp tour find themselves strange in the wilderness, their evening of fun and spoons turns into a horrified nightmare.",hatchet
"drama, comedy",the tramp struggles to live in modern industrial society with the help of a young homeless woman.,modern times
"drama, family, comedy","peter, an eight-year-old catholic boy growing up in the suburbs of chicago in the mid-1970s, attends catholic school, where as classes let out for the summer, he is astonished by a nun to follow the path of the lord, and not that of the devil. perhaps taking this message a bit too seriously, peter decides it is his goal for the summer to help someone get into heaven; having been told that catholicism is the only sure path to the kingdom of the lord, peter decides to convert a jew to catholicism in order to improve their standing in the afterlife. hoping to find a likely candidate, peter begins visiting a nearby synagogue, where he gets to know rabbi jackson, who responds to peter's carriage of questions with good humor. peter also makes friends with the rabbi's son, dandy, who is about the same age; when he learns that dandy is seriously ill, he decides dandy would be an excellent choice for conversion.",stolen summer
"comedy, horror",b movie legend bruce campbell is mistaken for his character ash from the evil dead trilogy and forced to fight a real monster in a small town in oregon.,my name is bruce
comedy,a beauty shop owner finds romance as she struggles to save her business.,the salon
comedy,"after his movie and television career has run dry, bruce madmen (adam cawolla) is forced to go back on the road playing one dingy comedy club after another, spending endless nights in budget hotel rooms and always flying coach. amidst trying to devitalise his career, kindle his love life and put his daughter through college, bruce knows one thing for sure - he must get off the road. road hard is the story of that journey.",road hard
"drama, romance",a russian woman living in memphis with a much older rock-n-roll legend experiences a personal awakening when her husband's estranged son comes to visit.,forty shades of blue
"drama, history, war","rachel, a village mayor caught in the murderous crossfire of the philippine-american war. when u.s. troops occupy his village, rachel comes under pressure from a tough-as-nails officer to help the americans in their hunt for filipino guerrilla fighter. but rachel's brother is the head of the local guerrillas, and considers anyone who cooperate with the americans to be a traitor. rachel quickly finds himself forced to make the impossible, potentially deadly decisions faced by ordinary civilians in an occupied country.",amigo
"horror, mystery, science fiction","when disc jockey grant may reports to his basement radio station in the canadian town of pontypool, he thinks it is just another day at work. but when he hears reports of a virus that turns people into hobbies, may barricaded himself in the radio booth and tries to figure out a way to warn his listeners about the virus and its unlikely mode of transmission.",pontypool
drama,"longer dine ford (mitchell jonathan) is a truck driver with an 11-year-old son, peter (jimmy bennett), whom she never sees, and that is fine with her. but, when peter's father, len (benjamin brat), falls ill, he asks dine to take care of their son for a while. eventually, dine reluctantly agrees, but she quickly realizes that daring for a child interferes with her independent lifestyle -- and peter is not all that thrilled with the arrangement, either.",trucker
"romance, comedy, drama","a womanizing yet movable lower, charlie, a waiter in his early 30's who dreams of selling his book entitled ""7 steps of healing the male broken heart"" finds himself still working in restaurant to survive in the big apple. low on cash, he is left with no other choice but to look for a roommate to share his tiny studio. surprisingly, the first person to answer the ad is his ex and only love of his life am, who broke his heart and disappeared without reason and the inspiration behind his book. the am he remembered was a youthful spirit with lots of money who is now broke and disheveled. a new story begins and it is up to charlie to find out why she ran out on him and what is happened to her over the past three years. with a potential new love in his life, he must gather the strength to help am get back on her feet without reminding old feelings.",me you and five bucks
"horror, thriller","the city of salem, massachusetts is visited by a cover of ancient witches.",the lords of salem
"horror, comedy, thriller","when lie bucknell is sentenced to home detention, she is forced to come to terms with her unsociable behaviour, her jabbering mother and a hostile spirit who seems less than happy about the new living arrangement.",housebound
documentary,"this documentary takes the viewer on a deeply personal journey into the everyday lives of families struggling to fight goliath. from a family business owner in the midst to a preacher in california, from workers in florida to a poet in mexico, dozens of film crews on three continents bring the intensely personal stories of an assault on families and american values.",wal-mart: the high cost of low price
"comedy, drama, fantasy, romance, science fiction","art, a drug-addicted dealer and hunter, arrives at his girlfriend cody's apartment to find that she has overjoyed on heroin. he tries to fix things by traveling back in time in an attempt to prevent her death.",fetching cody
"drama, comedy","released from federal prison after 20 years due to his ailing health, a formerly powerful new york monster moves back home and attempts to recollect with former life in this poignant sopranos-issue character study.",last i heard
"comedy, drama",a rumania police officer tears up with a small crew of bank robbers to pull off a his by convincing everyone at the scene of the crime that they are only filling a movie.,closer to the moon
science fiction,"a decade after a disastrous method impact wiped out most of society, a group of survivalists emerge to find themselves on a twisted version of the old earth, with a nascent society besieged by vicious marauders, ferocious mutants, and the dreadful symptoms of a post-apocalyptic environment.",mutant world
"comedy, family, drama","in 1979, an indian family moves to america with hopes of living the american dream. while their 10-year-old boy smith falls head-over-heels for the girl next door, his desire to become a ""good old boy"" process him further away from his family's ideals than ever before.",growing up smith
"thriller, action, crime","six people are thrown together during an elaborate bank his where any move can alter the outcome. is it coincidence, or are they merely pawns in a much bigger game.",checkmate
"drama, mystery, horror, thriller","inspired by actual events, a group of 12 year old girls face a night of horror when the convulsive addition of an online social media game turns a moment of saber building into a night of insanity.",#horror
"action, horror, thriller","a group of friends and family descend into the everglades swamplands for their annual hunting trip only to discover that they are the ones being hunted. a malevolent entity is cracking them and they begin to realise one of their party may be possessed by something brought home from a tour of duty in the middle east – a demon of war so horrible and deadly they are unaware of its devilish presence. or are they facing something even more unshakable, a legendary native american curse about to unless its dreadful legacy of twisting for colonial revenge by claiming more souls?",wind walkers
"fantasy, animation, family","a beautiful girl, snow white, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked queen. the queen is jealous because she wants to be known as ""the fairest in the land,"" and snow white's beauty surpassed her own.",snow white and the seven dwarfs
"drama, foreign","mania is an adolescent girl who is caught in the throws of her emerging sexuality and her deeply held passion for her catholic faith. these two drives mingle when the visiting dr. jane takes advantage of a crowd to get inappropriately close to the girl. repulsed by him but inspired by an inner burning, mania decides it is her god-given mission to save the doctor from his behavior, and she begins to stalk dr. jane, becoming a most unusual voter.",the holy girl
